,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Ucluelet,88,CA,1547265636,99,48.94,-125.55,42.46,1.92
2,Nadym,32,RU,1547265600,77,65.53,72.51,-17.4,13.44
3,Cabra,0,ES,1547263800,90,37.47,-4.43,32,2.24
4,Peabiru,32,BR,1547265637,84,-23.91,-52.35,73.91,8.3
5,Ixtapa,0,MX,1547264538,88,20.71,-105.21,64.96,1.59
6,Alyangula,40,AU,1547262000,70,-13.85,136.42,87.8,5.82
7,La Ronge,40,CA,1547264940,84,55.1,-105.3,1.4,11.41
8,Kalakamati,24,BW,1547265637,94,-20.59,27.31,66.08,7.85
9,Wladyslawowo,0,PL,1547263800,86,54.79,18.4,30.2,10.29
10,Luba,12,PH,1547265638,62,17.32,120.7,79.76,3.04
11,Brightwater,0,NZ,1547265638,55,-41.37,173.11,69.55,2.59
12,Puerto Leguizamo,36,CO,1547265638,88,-0.19,-74.78,76.39,3.71
13,Omaruru,0,NA,1547265639,84,-21.42,15.95,46.24,2.59
14,Kristinehamn,32,SE,1547263200,79,59.31,14.11,32,4.7
15,Bubaque,76,GW,1547265639,100,11.28,-15.83,78.14,4.72
16,Sioux Lookout,75,CA,1547263200,84,50.1,-91.92,8.6,4.7
17,Chilca,75,PE,1547262000,66,-13.22,-72.34,53.6,0.81
18,Pantai Remis,75,MY,1547262000,74,4.46,100.63,84.2,3.36
19,Matamoros,75,US,1547264100,87,25.87,-97.51,69.98,9.17
20,Quatre Cocos,40,MU,1547262000,88,-20.21,57.76,80.6,6.93
21,Saint George,90,GR,1547261400,93,39.45,22.34,37.4,4.7
22,Kulhudhuffushi,8,MV,1547265514,100,6.62,73.07,81.83,8.19
23,Butaritari,76,KI,1547265641,100,3.07,172.79,83.63,12.77
24,Isangel,0,VU,1547265539,100,-19.55,169.27,79.9,4.61
25,Mogadishu,64,SO,1547265479,100,2.04,45.34,78.64,22.62
26,Hobart,0,AU,1547263800,19,-42.88,147.33,75.2,20.8
27,Laguna,0,MX,1547265506,83,27.52,-110.01,61.49,2.71
28,San Miguel,0,AR,1547262000,64,-34.54,-58.72,71.6,8.05
29,Altea,0,ES,1547263800,55,38.6,-0.05,33.8,8.05
30,Sokolka,88,RU,1547265644,86,52.46,43.89,14.65,3.15
31,Codrington,0,AU,1547262000,38,-28.95,153.24,89.6,12.75
32,Katsuura,90,JP,1547262000,75,33.93,134.5,44.6,8.05
33,Awbari,0,LY,1547265644,67,26.59,12.77,36.47,8.97
34,Siavonga,92,ZW,1547265644,100,-16.54,28.71,71.17,3.38
35,Rio Grande,92,BR,1547265377,94,-32.03,-52.1,72.56,10.87
36,Samarai,24,PG,1547265645,100,-10.62,150.67,81.97,4.16
37,Esil,48,KZ,1547265645,72,51.96,66.41,-6.19,8.86
38,Komsomolskiy,64,RU,1547265326,86,67.55,63.78,2.05,14.79
39,Wahiawa,75,US,1547261820,64,21.5,-158.02,78.98,8.05
40,Vaini,0,IN,1547262000,77,15.34,74.49,66.2,2.93
41,Port Lincoln,0,AU,1547265449,77,-34.72,135.86,70.45,17.47
42,Talnakh,32,RU,1547265345,77,69.49,88.39,-38.19,4.27
43,Monrovia,20,LR,1547263800,94,6.33,-10.8,75.2,5.28
44,Neuquen,0,AR,1547262000,19,-38.95,-68.06,69.8,5.82
45,Saint-Denis,90,FR,1547262000,93,48.94,2.36,42.8,4.7
46,Portland,75,US,1547261580,58,45.52,-122.67,46.94,12.75
47,Fairbanks,20,US,1547263080,65,64.84,-147.72,-38.21,2.71
48,Lipovtsy,0,RU,1547265646,50,44.2,131.72,21.17,3.71
49,Helong,32,CN,1547265430,91,25.94,116.13,51.46,3.49
50,Hami,44,CN,1547265647,57,42.84,93.51,4.66,2.71
51,Necochea,8,AR,1547265647,69,-38.55,-58.74,60.19,11.77
52,Dakar,0,SN,1547263800,77,14.69,-17.45,68,16.11
53,Beringovskiy,32,RU,1547265647,94,63.05,179.32,-1.65,22.28
54,Hamilton,40,BM,1547261700,67,32.3,-64.78,59,10.42
55,Chokurdakh,0,RU,1547265432,0,70.62,147.9,-39.99,2.93
56,Vostok,0,RU,1547265436,55,46.45,135.83,13.61,1.14
57,Salinopolis,92,BR,1547265444,100,-0.61,-47.36,75.98,5.39
58,Kudahuvadhoo,20,MV,1547265389,100,2.67,72.89,79.99,9.42
59,Grand Gaube,40,MU,1547262000,88,-20.01,57.66,80.6,6.93
60,Champerico,12,MX,1547265484,82,16.38,-93.6,63.25,1.25
61,Portales,90,US,1547264580,93,34.19,-103.33,39.2,4.7
62,Sekoma,0,BW,1547265649,68,-24.51,23.93,70,7.4
63,Tessalit,56,ML,1547264548,20,20.2,1.01,46.6,10.2
64,Sistranda,75,NO,1547261400,86,63.73,8.83,37.4,19.46
65,Cabatuan,20,PH,1547265649,100,16.95,121.67,75.44,1.92
66,Aden,76,YE,1547265516,100,12.79,45.03,74.95,8.41
67,Vaijapur,0,IN,1547265650,69,19.92,74.72,58.97,2.15
68,Hambantota,75,LK,1547262600,94,6.12,81.12,75.2,6.93
69,Murray Bridge,0,AU,1547265650,72,-35.12,139.28,74.41,22.28
70,Maldonado,0,UY,1547262000,77,-34.91,-54.96,60.8,9.17
71,Piacabucu,80,BR,1547265483,88,-10.41,-36.43,76.07,5.61
72,Bredasdorp,32,ZA,1547262000,76,-34.53,20.04,53.6,5.82
73,Bluff,0,AU,1547265424,53,-23.58,149.07,87.77,8.63
74,Ulaangom,8,MN,1547265353,22,49.98,92.07,-18.84,1.14
75,Vila,0,IT,1547263200,58,45.18,8.4,28.4,3.36
76,Vanimo,12,PG,1547265651,100,-2.67,141.3,83.05,14.23
77,Nkhotakota,92,MW,1547265651,100,-12.93,34.3,72.97,1.36
78,Thompson,75,CA,1547262000,70,55.74,-97.86,-2.21,3.36
79,Marsa Matruh,0,EG,1547262000,61,31.35,27.25,46.4,9.17
80,Pangnirtung,64,CA,1547265368,53,66.15,-65.72,-18.43,3.15
81,Busselton,0,AU,1547265431,81,-33.64,115.35,74.32,11.77
82,Estelle,90,US,1547264940,93,32.87,-97.01,54.14,11.41
83,Kapiri Mposhi,80,ZM,1547265652,98,-13.97,28.68,65.95,2.93
84,Lavrentiya,24,RU,1547265652,99,65.58,-170.99,-8.71,27.31
85,Popondetta,64,PG,1547265652,83,-8.77,148.24,78.1,2.26
86,Nizhniy Odes,88,RU,1547265652,72,63.64,54.86,14.06,9.98
87,Guiren,20,TW,1547263800,54,22.97,120.29,80.6,9.17
88,Minab,0,IR,1547263800,50,27.15,57.07,55.4,4.7
89,Sicamous,48,CA,1547264820,96,50.84,-118.99,32,2.24
90,Tamiahua,36,MX,1547265653,91,21.28,-97.45,73.87,17.25
91,Yumen,0,CN,1547265653,57,40.29,97.04,5.06,3.94
92,Qaanaaq,24,GL,1547265217,100,77.48,-69.36,-18.16,10.54
93,Jamestown,0,AU,1547265041,44,-33.21,138.6,88,11.77
94,Clyde River,1,CA,1547262000,73,70.47,-68.59,-31.01,6.93
95,Kahului,40,US,1547264700,69,20.89,-156.47,82.04,4.7
96,Anadyr,0,RU,1547263800,75,64.73,177.51,-13.01,6.71
97,Presidencia Roque Saenz Pena,92,AR,1547265475,98,-26.79,-60.44,70.94,9.08
98,College,20,US,1547263080,65,64.86,-147.8,-34.97,2.71
99,Yelizovo,40,RU,1547263800,59,53.19,158.38,33.8,20.13
100,Road Town,1,VG,1547261580,78,18.42,-64.62,75.02,3.36
101,Baghmara,0,IN,1547265655,63,23.8,86.21,60.23,3.94
102,Peleduy,24,RU,1547265386,51,59.63,112.75,-4.35,5.61
103,Lilongwe,92,MW,1547265655,99,-13.97,33.79,67.34,3.71
104,San Jose,0,PH,1547265525,70,15.79,120.99,80.84,2.93
105,Atasu,36,KZ,1547265471,80,48.68,71.64,-2.05,7.07
106,Cizre,0,TR,1547265656,72,37.33,42.19,21.04,2.71
107,Biloela,0,AU,1547265656,36,-24.4,150.51,91.06,7.29
108,Vardo,1,US,1547263200,79,39.62,-77.74,30.2,3.38
109,East London,75,ZA,1547262000,72,-33.02,27.91,64.4,20.8
110,Turukhansk,48,RU,1547265657,42,65.8,87.96,-26.89,4.16
111,Maceio,0,BR,1547262000,83,-9.67,-35.74,73.4,2.24
112,Broome,0,GB,1547263200,87,52.47,1.45,44.96,10.29
113,Chara,90,GR,1547261400,93,39.42,22.43,37.4,4.7
114,Erzin,0,TR,1547263200,91,36.95,36.2,44.6,4.7
115,Lata,0,IN,1547265492,88,30.78,78.62,27.16,2.15
116,San Cristobal,40,EC,1547262000,100,-0.39,-78.55,53.6,1.12
117,Sao Jose da Coroa Grande,68,BR,1547265493,94,-8.9,-35.15,75.89,5.61
118,Aransas Pass,90,US,1547264100,89,27.91,-97.15,68,13.87
119,Tutoia,92,BR,1547265658,100,-2.76,-42.27,72.34,2.93
120,Arman,32,RU,1547265658,73,59.7,150.17,5.42,5.39
121,Kununurra,0,AU,1547263800,37,-15.77,128.74,102.2,6.93
122,Victoria,75,BN,1547263800,70,5.28,115.24,87.8,2.24
123,Saskylakh,36,RU,1547264304,0,71.97,114.09,-43.18,3.6
124,Marawi,68,PH,1547265659,70,8,124.29,78.82,3.27
125,Punta Arenas,75,CL,1547262000,100,-53.16,-70.91,42.8,23.04
126,Haimen,12,CN,1547265659,96,31.87,121.18,45.79,8.19
127,Majene,0,ID,1547265659,91,-3.54,118.97,85.43,6.85
128,Madisonville,90,US,1547265300,100,37.33,-87.5,32,5.82
129,Tual,80,ID,1547265516,100,-5.67,132.75,82.73,11.77
130,Poya,12,NC,1547265660,99,-21.35,165.16,78.55,16.24
131,Sarai Naurang,100,PK,1547265660,92,32.83,70.78,44.44,2.48
132,Maragogi,68,BR,1547265595,94,-9.01,-35.22,75.89,5.61
133,Yangcun,24,CN,1547265661,89,29.98,118.17,42.91,3.38
134,Caravelas,88,BR,1547265092,100,-17.73,-39.27,80.8,10.76
135,Timbuktu,0,ML,1547265531,38,16.77,-3.01,58.34,9.75
136,Annau,0,TM,1547262000,100,37.89,58.52,30.2,4.7
137,Bull Savanna,0,JM,1547265661,88,17.89,-77.59,64.73,3.38
138,Rikitea,80,PF,1547265422,100,-23.12,-134.97,79.36,17.25
139,Alofi,24,NU,1547262000,69,-19.06,-169.92,82.4,18.34
140,Bloomingdale,90,US,1547265180,72,41.96,-88.08,32,3.36
141,Makasar,40,ID,1547263800,66,-6.28,106.88,86,8.05
142,Kayseri,20,TR,1547263200,78,38.73,35.48,15.8,2.24
143,Forestville,90,CA,1547262000,71,48.74,-69.09,6.8,23.04
144,Baft,0,IR,1547265663,64,29.23,56.61,12.4,2.15
145,Cusco,75,PE,1547262000,66,-13.52,-71.98,53.6,1.81
146,Nouadhibou,0,MR,1547264966,82,20.93,-17.03,57.22,6.73
147,Sept-Iles,90,CA,1547262000,79,50.2,-66.38,23,8.05
148,Gobindpur,0,IN,1547265663,63,23.81,86.6,60.23,3.94
149,Sorong,44,ID,1547265425,99,-0.86,131.25,84.08,9.31
150,Daru,44,SL,1547265664,79,7.99,-10.85,74.63,4.72
151,Inongo,64,CD,1547265664,100,-1.93,18.29,71.17,2.48
152,Pali,0,IN,1547265665,76,25.77,73.33,52.13,3.38
153,Vestmanna,92,FO,1547263200,87,62.16,-7.17,44.6,26.4
154,Kropotkin,92,RU,1547265665,92,45.43,40.58,42.64,17.02
155,Cachoeira do Sul,80,BR,1547265665,90,-30.05,-52.89,70.72,11.77
156,Xiaoweizhai,92,CN,1547265666,100,26.23,107.51,43.49,3.6
157,Aktau,0,KZ,1547263800,86,43.65,51.16,39.2,22.37
158,Baykit,32,RU,1547265666,73,61.68,96.39,-17.49,2.93
159,Tiznit,0,MA,1547265666,93,29.7,-9.73,47.05,6.17
160,Werda,92,DE,1547265000,99,50.44,12.3,35.6,9.17
161,Pangody,0,RU,1547265667,57,65.85,74.49,-19.6,14.56
162,Gewane,0,ET,1547265667,81,10.16,40.66,46.28,1.59
163,Chuy,92,UY,1547265274,90,-33.69,-53.46,65.18,7.18
164,Mackay,75,CA,1547262000,85,53.65,-115.58,21.2,3.36
165,Cap-aux-Meules,90,CA,1547262000,73,47.38,-61.86,19.4,18.34
166,Cherskiy,24,RU,1547265439,46,68.75,161.3,-15.46,2.71
167,Rocha,80,UY,1547265393,77,-34.48,-54.34,60.19,5.73
168,Qarqin,8,AF,1547265668,91,37.41,66.03,31.75,5.73
169,San Policarpo,48,PH,1547265669,89,12.18,125.51,81.56,11.77
170,Sabha,0,LY,1547265462,67,27.03,14.43,37.64,12.77
171,Nurota,90,UZ,1547263800,91,40.56,65.69,32,5.95
172,Pangai,40,TO,1547262000,74,-19.8,-174.35,84.2,16.11
173,Ponta do Sol,64,BR,1547265292,78,-20.63,-46,69.01,3.38
174,Oktyabrskiy,75,RU,1547263800,92,55.61,37.97,14,4.47
175,Kavieng,64,PG,1547265670,100,-2.57,150.8,81.97,7.85
176,Mataura,0,NZ,1547265040,53,-46.19,168.86,69.91,4.05
177,Pitimbu,75,BR,1547262000,83,-7.47,-34.81,77,8.05
178,Nagato,75,JP,1547262000,81,34.35,131.14,50,5.82
179,Iqaluit,20,CA,1547262000,68,63.75,-68.52,-20.21,20.8
180,Puerto Ayora,48,EC,1547265449,100,-0.74,-90.35,76.39,9.19
181,Ankang,92,CN,1547265388,79,32.73,108.99,30.98,2.93
182,Namibe,8,AO,1547265485,100,-15.19,12.15,73.19,3.15
183,Funadhoo,20,MV,1547265671,100,6.15,73.27,81.74,8.52
184,Mbamba,0,NG,1547265671,57,9.98,13.1,55.73,3.38
185,Byron Bay,0,AU,1547263800,51,-28.65,153.62,89.6,16.11
186,Bilma,0,NE,1547265488,52,18.69,12.92,47.14,3.49
187,Lasa,0,CY,1547263800,76,34.92,32.53,50,9.17
188,Fare,88,PF,1547265672,100,-16.7,-151.02,83.14,16.58
189,Aswan,0,EG,1547265527,93,24.09,32.9,42.14,4.05
190,Luderitz,24,NA,1547265276,91,-26.65,15.16,57.67,4.5
191,Ouadda,0,CF,1547265672,57,8.07,22.4,63.79,9.64
192,Paamiut,80,GL,1547265482,92,61.99,-49.67,31.21,4.38
193,Tazovskiy,48,RU,1547265391,36,67.47,78.7,-23.97,11.99
194,Aichach,92,DE,1547265000,95,48.46,11.13,32,16.11
195,Havelock,1,US,1547261880,81,34.88,-76.9,37.04,4.7
196,Viedma,48,AR,1547265673,29,-40.81,-62.99,75.94,18.7
197,Geraldton,20,CA,1547262000,75,49.72,-86.95,-13.01,4.7
198,Alta,88,NO,1547263200,86,69.97,23.27,33.8,42.5
199,Santa Lucia,5,IT,1547261700,60,39.93,9.66,41,11.41
200,Tiarei,90,PF,1547264040,74,-17.53,-149.33,84.2,13.87
201,Batemans Bay,0,AU,1547265316,51,-35.71,150.18,87.23,3.15
202,Pandan,100,PH,1547265675,100,11.72,122.09,75.62,12.66
203,Hualmay,20,PE,1547265460,96,-11.1,-77.61,66.62,5.73
204,Severo-Kurilsk,76,RU,1547265676,100,50.68,156.12,32.24,24.52
205,Sao Felix do Xingu,32,BR,1547265676,100,-6.64,-51.99,71.03,2.15
206,Livada,92,RO,1547262000,92,47.86,23.12,23,5.82
207,Salalah,0,OM,1547261400,25,17.01,54.1,73.4,16.11
208,Atar,0,MR,1547265677,36,20.52,-13.05,47.63,6.85
209,Shiyan,88,CN,1547265677,74,32.65,110.78,35.89,2.48
210,Tuktoyaktuk,90,CA,1547262000,75,69.44,-133.03,-14.81,11.41
211,Kisanga,8,CD,1547265677,95,-11.72,27.4,64.28,6.4
212,Zhaozhou,0,CN,1547265678,81,45.71,125.27,18.11,5.17
213,Carnarvon,8,ZA,1547265425,82,-30.97,22.13,50.11,5.5
214,Myaundzha,24,RU,1547265678,50,63.05,147.18,-32.07,2.93
215,Catamayo,76,EC,1547265678,98,-3.99,-79.36,55.46,0.92
216,Klaksvik,88,FO,1547263200,87,62.23,-6.59,44.6,26.4
217,Pedernales,56,EC,1547265679,96,0.07,-80.05,71.21,4.38
218,Segovia,0,ES,1547263800,86,40.95,-4.12,26.6,3.36
219,Lompoc,90,US,1547264340,87,34.64,-120.46,60.08,9.17
220,Aksu,0,KZ,1547263800,82,52.04,76.93,-18.41,2.24
221,Arraial do Cabo,8,BR,1547265458,86,-22.97,-42.02,77.42,16.46
222,Celestun,0,MX,1547265679,97,20.87,-90.4,74.5,15.79
223,Beloha,100,MG,1547265680,96,-25.17,45.06,73.87,11.65
224,Lensk,20,RU,1547265680,50,60.71,114.91,-3.76,7.63
225,Palembang,75,ID,1547263800,70,-2.99,104.76,86,11.41
226,Kichera,8,RU,1547265680,69,55.93,110.1,-11.55,1.92
227,Naerbo,90,NO,1547263200,80,58.67,5.65,35.6,6.93
228,Komatipoort,20,MZ,1547265681,80,-25.43,31.96,79.27,8.3
229,Denizli,75,TR,1547261400,65,37.77,29.09,41,6.93
230,Rivadavia,0,AR,1547265618,65,-31.53,-68.59,61.58,4.61
231,Marshall,90,US,1547265180,72,39.39,-87.69,32.54,5.82
232,Tunoshna,90,RU,1547263800,85,57.55,40.13,14,8.95
233,Uvira,32,CD,1547265682,100,-3.41,29.14,60.01,1.7
234,Iquitos,90,PE,1547262000,94,-3.75,-73.25,73.4,4.7
235,Bandarbeyla,92,SO,1547265304,100,9.49,50.81,75.26,16.69
236,Jambi,32,ID,1547265683,91,-1.6,103.62,80.17,4.05
237,Sebring,1,US,1547264100,77,27.5,-81.44,60.98,3.36
238,Ginda,0,IN,1547265434,88,30.69,78.49,27.16,2.15
239,Kupang,56,ID,1547265683,85,-10.16,123.6,86.11,6.96
240,Madison Heights,90,US,1547264160,55,42.49,-83.11,26.96,4.05
241,Missoula,1,US,1547261580,84,46.87,-114,21.92,1.81
242,Belmonte,0,PT,1547265516,85,40.36,-7.35,27.74,4.61
243,Meulaboh,24,ID,1547265435,100,4.14,96.13,80.8,2.71
244,Maniitsoq,0,GL,1547265501,100,65.42,-52.9,6.23,9.19
245,Oistins,20,BB,1547262000,73,13.07,-59.53,77,16.11
246,Egvekinot,0,RU,1547265685,0,66.32,-179.17,-44.17,2.59
247,Beni,8,CD,1547265685,84,0.49,29.47,58.39,2.71
248,Zhigansk,48,RU,1547265333,66,66.77,123.37,-22.17,9.19
249,Mora,0,PT,1547265685,87,38.94,-8.17,31.12,5.95
250,Margate,0,AU,1547263800,19,-43.03,147.26,75.2,20.8
251,Lloydminster,40,CA,1547262000,84,53.28,-110.01,6.8,13.87
252,Sosnogorsk,88,RU,1547265686,75,63.59,53.93,14.92,10.54
253,Constitucion,0,MX,1547265330,53,23.99,-104.67,51.64,7.18
254,Liling,90,CN,1547262000,93,27.65,113.49,39.2,2.24
255,Katangli,0,RU,1547265690,100,51.71,143.23,9.34,16.02
256,Elko,90,US,1547261760,81,40.83,-115.76,26.96,5.82
257,Tautira,90,PF,1547264040,74,-17.73,-149.15,84.2,13.87
258,Chabahar,0,IR,1547265691,100,25.29,60.65,67.43,13.22
259,Saint-Francois,90,FR,1547263800,100,46.42,3.91,35.6,2.24
260,Touros,20,BR,1547262000,83,-5.2,-35.46,77,4.7
261,Hermanus,12,ZA,1547265417,100,-34.42,19.24,48.49,3.15
262,Lakes Entrance,8,AU,1547265692,47,-37.88,147.99,86.06,8.86
263,Brae,92,GB,1547263200,93,60.4,-1.35,46.4,20.8
264,Bathsheba,20,BB,1547262000,73,13.22,-59.52,77,16.11
265,Poso,12,ID,1547265693,98,-1.4,120.75,83.09,3.38
266,Port Blair,40,IN,1547262000,83,11.67,92.75,82.4,10.29
267,San Patricio,80,PY,1547265007,82,-26.98,-56.83,78.1,3.94
268,Ostrovnoy,88,RU,1547265081,89,68.05,39.51,21.53,10.65
269,Kodiak,90,US,1547264100,100,39.95,-94.76,33.8,8.05
270,Kaabong,0,UG,1547265694,56,3.51,34.14,59.65,7.18
271,Acajutla,0,SV,1547265452,85,13.59,-89.83,71.26,2.37
272,Aksehir,56,TR,1547265694,100,38.36,31.42,31.66,5.28
273,Soufriere,40,LC,1547262000,83,13.86,-61.06,78.8,21.92
274,Ilulissat,0,GL,1547261400,43,69.22,-51.1,-7.61,2.24
275,Ciudad Bolivar,0,VE,1547265695,54,8.12,-63.55,82.42,15.35
