,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,Curuguaty,48,PY,1547265696,91,-24.47,-55.69,73.64,2.15
277,Pimentel,92,BR,1547265696,100,-3.7,-45.5,70.13,3.83
278,Nikolskoye,75,RU,1547263800,79,59.7,30.79,32,13.42
279,Barrow,0,AR,1547265012,56,-38.31,-60.23,61.67,12.1
280,Santa Luzia,0,BR,1547262000,73,-19.77,-43.85,73.4,6.93
281,Amot,32,NO,1547265697,76,59.57,7.99,9.29,2.04
282,Lagoa,0,PT,1547262000,39,37.14,-8.45,48.2,9.17
283,Flinders,0,AU,1547262000,52,-34.58,150.85,89.6,12.75
284,Ustye,32,RU,1547265698,83,58.76,27.79,24.32,12.66
285,Bonnyville,75,CA,1547262000,85,54.27,-110.74,10.4,8.05
286,Naberera,12,TZ,1547265698,95,-4.2,36.93,61.81,2.82
287,Forbes,0,AU,1547265699,67,-33.38,148.01,89.62,4.83
288,Taksimo,64,RU,1547265699,58,56.36,114.84,-8.67,1.7
289,Yorkton,40,CA,1547262000,91,51.21,-102.46,3.2,3.36
290,Sweetwater,1,US,1547264100,97,32.47,-100.41,55.04,5.82
291,Puerto Escondido,0,MX,1547265505,100,15.86,-97.07,80.89,4.94
292,Loviisa,0,FI,1547263200,92,60.46,26.23,28.4,8.05
293,Honiara,80,SB,1547265527,98,-9.43,159.96,79.27,2.37
294,Alice Springs,0,AU,1547264640,13,-23.7,133.88,105.8,11.41
295,Ambam,0,NG,1547265701,40,9.52,8.32,61.22,7.4
296,NEDJO,0,ET,1547265701,74,9.5,35.5,47.5,3.38
297,Minas,0,UY,1547262000,77,-34.38,-55.24,60.8,9.17
298,Tasiilaq,80,GL,1547261400,73,65.61,-37.64,19.4,10.29
299,Cape Town,0,ZA,1547262000,100,-33.93,18.42,53.6,5.82
300,Kapit,36,MY,1547265702,81,2.02,112.94,82.82,1.7
301,Katherine,0,AU,1547263800,53,-14.47,132.26,95,9.17
302,Bilibino,12,RU,1547265459,59,68.06,166.44,-20.95,2.71
303,Birjand,0,IR,1547262000,52,32.86,59.22,19.4,4.7
304,Nome,90,US,1547264100,84,30.04,-94.42,57.56,11.41
305,Leningradskiy,8,RU,1547265703,88,69.38,178.42,-14.2,14.45
306,Tibati,0,CM,1547265704,43,6.47,12.63,64.6,8.52
307,Nanortalik,48,GL,1547265543,89,60.14,-45.24,31.07,43.87
308,Troitskoye,80,RU,1547265704,75,52.98,84.68,-0.12,4.05
309,Castro,90,CL,1547262000,100,-42.48,-73.76,53.6,5.82
310,Mana,40,RS,1547263800,100,43.52,20.24,15.8,2.24
311,Coquimbo,0,CL,1547262000,82,-29.95,-71.34,59,5.82
312,Spas-Demensk,88,RU,1547265705,81,54.41,34.03,7.58,8.97
313,Cimitarra,8,CO,1547265705,89,6.31,-73.95,71.39,2.71
314,Qixingtai,100,CN,1547265706,100,30.41,111.89,36.79,2.26
315,Lisala,92,CD,1547265707,70,2.15,21.52,76.57,8.63
316,Yar-Sale,48,RU,1547265708,74,66.83,70.83,-11.05,18.03
317,Jurm,64,AF,1547265708,94,36.86,70.83,5.87,1.36
318,Upernavik,32,GL,1547265446,100,72.79,-56.15,-6.28,5.73
319,Yerbogachen,44,RU,1547265794,60,61.28,108.01,-7.5,6.96
320,Mumford,32,GH,1547265709,94,5.26,-0.76,77.47,5.06
321,Biryukove,75,UA,1547263800,86,47.96,39.74,33.8,24.61
322,Kamariotissa,75,GR,1547265000,86,40.48,25.47,42.8,12.75
323,Galle,40,US,1547265180,96,29.74,-97.91,59.36,4.7
324,Lerwick,76,GB,1547263200,81,60.15,-1.15,46.4,29.97
325,Huarmey,44,PE,1547265710,94,-10.07,-78.15,65.36,3.83
326,Vao,44,EE,1547265711,85,59.1,26.19,31.43,11.43
327,Cheremukhovo,68,RU,1547265711,85,56.23,46.23,13.79,7.52
328,Oksfjord,90,NO,1547263200,86,70.24,22.35,33.8,65.54
329,Vytegra,92,RU,1547265711,93,61.01,36.45,23.96,20.38
330,Biu,0,NG,1547265712,39,10.61,12.19,61.13,7.63
331,Aykhal,24,RU,1547265353,32,65.95,111.51,-23.34,6.62
332,Severomuysk,36,RU,1547265712,80,56.17,113.57,-7.9,2.48
333,Taoudenni,12,ML,1547265540,39,22.68,-3.98,42.77,8.97
334,Labuhan,32,ID,1547265714,73,-2.54,115.51,85.97,3.15
335,Mauguio,0,FR,1547263800,60,43.62,4.01,42.8,11.41
336,Pompeu,0,BR,1547262000,61,-21.05,-48.85,77,8.63
337,La Baule-Escoublac,90,FR,1547263800,87,47.28,-2.4,44.6,4.7
338,Ushtobe,92,KZ,1547265801,92,45.25,77.98,25.72,4.94
339,Cururupu,92,BR,1547265420,100,-1.82,-44.87,73.64,2.71
340,Palmeira das Missoes,92,BR,1547265437,90,-27.9,-53.31,71.93,10.76
341,Umm Kaddadah,0,SD,1547265461,37,13.6,26.69,54.25,8.75
342,Dharchula,0,IN,1547265720,73,29.85,80.53,23.78,1.7
343,Bose,0,IT,1547265000,79,45.46,8.01,32,2.24
344,Cassia,1,US,1547265180,89,28.89,-81.47,62.96,4.7
345,Morant Bay,20,JM,1547262000,61,17.88,-76.41,77,3.36
346,Vestmannaeyjar,0,IS,1547265722,97,63.44,-20.27,41.74,24.29
347,Lanxi,68,CN,1547265723,99,29.21,119.46,46.96,2.82
348,Narsaq,75,GL,1547261400,51,60.91,-46.05,37.4,24.16
349,Kalmunai,88,LK,1547265494,100,7.42,81.82,74.05,6.4
350,New Glasgow,44,CA,1547265610,78,45.59,-62.65,20.27,8.3
351,Sisimiut,0,GL,1547265725,100,66.94,-53.67,-21.04,3.15
352,Takoradi,12,GH,1547265725,100,4.89,-1.75,80.44,4.38
353,Atuona,0,PF,1547265040,100,-9.8,-139.03,81.47,16.24
354,Chopan,0,IN,1547265726,87,24.52,83.02,52.99,2.82
355,Macapa,75,BR,1547262000,100,0.05,-51.07,77,6.93
356,Port Hedland,0,AU,1547263800,59,-20.31,118.58,93.2,14.99
357,Jardim,44,BR,1547265726,92,-21.48,-56.15,74.36,1.92
358,La Peca,12,PE,1547265726,99,-5.61,-78.44,61.13,2.15
359,Tayshet,36,RU,1547265727,69,55.94,98.01,-5.83,2.48
360,Klyuchi,32,RU,1547265515,73,52.25,79.17,-6.24,7.85
361,Severobaykalsk,0,RU,1547265728,69,55.65,109.32,-17.67,2.93
362,Anahuac,90,US,1547265300,93,29.77,-94.68,62.06,9.17
363,Jarwal,0,IN,1547265729,86,27.12,81.54,52.04,2.82
364,Gat,0,SN,1547263800,77,14.69,-16.54,68,16.11
365,Quepos,0,CR,1547262000,68,9.43,-84.16,69.8,11.41
366,Aklavik,90,CA,1547262000,74,68.22,-135.01,-22.01,4.7
367,Kruisfontein,8,ZA,1547265730,87,-34,24.73,63.83,20.71
368,Berlevag,68,NO,1547265730,100,70.86,29.09,19.6,4.38
369,Laramie,90,US,1547263740,100,41.31,-105.59,30.2,8.05
370,Gorontalo,44,ID,1547265730,67,0.54,123.06,86.24,2.59
371,Sao Filipe,0,CV,1547265731,99,14.9,-24.5,71.66,10.87
372,Fortuna,0,ES,1547263800,55,38.18,-1.13,33.8,8.05
373,Cockburn Town,12,TC,1547265536,100,21.46,-71.14,76.75,13.78
374,Orlik,24,RU,1547265517,62,52.51,99.83,-17.94,2.04
375,Teluknaga,40,ID,1547263800,66,-6.1,106.64,86,8.05
376,Darhan,36,MN,1547265819,74,49.49,105.92,-1.51,3.04
377,Sakaraha,68,MG,1547265734,97,-22.91,44.53,70,11.88
378,Alakurtti,68,RU,1547265734,92,66.96,30.34,20.54,4.05
379,Pastavy,8,BY,1547265734,80,55.11,26.84,21.53,7.85
380,Petropavlivka,68,UA,1547265735,95,48.46,36.42,26.44,14.56
381,Port Moresby,40,PG,1547262000,62,-9.47,147.16,89.6,11.41
382,Natal,40,BR,1547262000,74,-5.81,-35.21,78.8,4.7
383,Hithadhoo,88,MV,1547265274,100,-0.6,73.08,79.04,0.36
384,Catuday,8,PH,1547265822,91,16.29,119.81,81.83,5.95
385,Bershet,75,RU,1547263800,78,57.73,56.38,12.2,11.18
386,Manaure,0,CO,1547265444,95,11.78,-72.45,77.42,19.6
387,Cayenne,0,GF,1547263800,94,4.94,-52.33,73.4,2.24
388,Saint-Augustin,90,FR,1547263800,93,44.83,-0.61,42.8,3.36
389,Gilford,90,US,1547265300,68,43.49,-83.62,26.6,5.82
390,Longyearbyen,20,NO,1547261400,55,78.22,15.63,8.6,18.34
391,Jaguey Grande,20,CU,1547261400,82,22.53,-81.13,62.6,5.82
392,Srednekolymsk,36,RU,1547265511,49,67.46,153.71,-29.86,2.59
393,Tezpur,0,IN,1547265738,75,26.62,92.79,61.04,4.05
394,Prieska,0,ZA,1547265738,45,-29.67,22.74,52.99,4.27
395,Ribeira Grande,40,PT,1547260200,72,38.52,-28.7,59,12.75
396,Oslob,40,PH,1547262000,74,9.52,123.43,84.2,11.41
397,Portobelo,20,PA,1547262000,83,9.55,-79.65,75.2,3.36
398,Garowe,0,SO,1547265739,93,8.41,48.48,55.15,5.95
399,Celano,32,IT,1547261700,37,42.09,13.54,30.2,12.75
400,Las Vegas,40,US,1547262900,77,36.17,-115.15,57.02,3.36
401,Korhogo,0,CI,1547265740,66,9.46,-5.63,64.06,2.71
402,Kloulklubed,75,PW,1547265000,74,7.04,134.26,84.2,9.17
403,Lamu,32,ID,1547265740,73,0.57,122.3,85.84,0.69
404,Chaman,0,AF,1547265741,79,30.92,66.46,18.16,3.6
405,Nicoya,0,CR,1547262000,61,10.15,-85.45,78.8,17.22
406,Belaya Gora,8,RU,1547265466,0,68.54,146.19,-43.9,2.82
407,Puro,76,PH,1547265741,100,13.13,123.76,75.94,6.85
408,Cam Ranh,40,VN,1547263800,62,11.92,109.15,86,11.41
409,Upata,48,VE,1547265742,61,8.02,-62.41,78.01,9.19
410,Snezhnogorsk,75,RU,1547263800,85,69.19,33.23,23,2.24
411,Miri,8,NG,1547265464,57,10.31,9.75,56.14,3.71
412,Farafangana,88,MG,1547265742,100,-22.82,47.83,78.01,8.19
413,Port Alfred,0,ZA,1547265268,83,-33.59,26.89,66.89,22.5
414,Mar del Plata,36,AR,1547265255,42,-46.43,-67.52,65.81,20.49
415,Qasigiannguit,0,GL,1547261400,43,68.82,-51.19,-7.61,2.24
416,Gawler,0,AU,1547263800,25,-34.6,138.75,86,20.8
417,Okhotsk,0,RU,1547265457,100,59.36,143.24,-5.2,9.98
418,Kovdor,48,RU,1547265743,81,67.56,30.47,15.19,2.37
419,Netivot,0,IL,1547265743,84,31.42,34.59,31.57,2.93
420,Coolum Beach,0,AU,1547265744,61,-26.53,153.09,83.99,9.08
421,Mariental,92,DE,1547265744,96,52.28,10.99,38.95,14.9
422,Casper,1,US,1547261580,95,42.87,-106.31,24.08,4.7
423,Bambous Virieux,40,MU,1547262000,88,-20.34,57.76,80.6,6.93
424,New Norfolk,0,AU,1547262780,49,-42.78,147.06,73.4,19.46
425,Tabas,0,IR,1547262000,68,33.6,56.92,28.4,4.7
426,Balkhash,75,KZ,1547263800,92,46.84,74.98,15.8,2.24
427,Saint-Philippe,1,CA,1547264100,60,45.36,-73.48,5,5.82
428,Viramgam,0,IN,1547263800,48,23.12,72.05,60.8,8.05
429,Khatanga,48,RU,1547265295,58,71.98,102.47,-32.79,9.64
430,Inirida,0,CO,1547265746,92,3.87,-67.92,74.36,1.81
431,Pindiga,0,NG,1547265746,37,9.98,10.93,62.17,7.52
432,Tuatapere,0,NZ,1547265482,73,-46.13,167.69,62.93,5.06
433,Yakeshi,20,CN,1547265505,73,49.28,120.73,8.66,3.27
434,Talaya,40,RU,1547263800,77,55.79,84.89,1.4,8.95
435,Pakxan,32,LA,1547265747,72,18.39,103.66,74.27,2.71
436,Namatanai,36,PG,1547265747,93,-3.66,152.44,85.61,15.01
437,Ancud,90,CL,1547262000,100,-41.87,-73.83,53.6,5.82
438,Shatrovo,75,BG,1547263800,79,42.29,22.98,24.8,6.93
439,Lorengau,68,PG,1547265441,98,-2.02,147.27,83.77,13.33
440,Erseke,80,AL,1547265747,100,40.34,20.68,18.16,1.7
441,Paita,44,PE,1547265748,70,-5.09,-81.11,75.67,7.85
442,Diego de Almagro,0,CL,1547265472,91,-26.39,-70.05,54.7,2.04
443,Iznoski,80,RU,1547265748,83,54.99,35.31,8.84,10.42
444,Muroto,75,JP,1547262000,81,33.37,134.14,48.2,8.05
445,Yellowknife,90,CA,1547262000,84,62.45,-114.38,6.8,8.05
446,Tilichiki,0,RU,1547265748,77,60.47,166.1,4.79,6.29
447,Camacari,40,BR,1547262000,74,-12.7,-38.32,82.4,11.41
448,Saldanha,0,PT,1547265301,86,41.42,-6.55,19.37,3.49
449,Nishihara,75,JP,1547263800,41,35.74,139.53,42.8,3.36
450,Bethel,1,US,1547261760,76,60.79,-161.76,-22.01,20.8
451,Broken Hill,0,AU,1547262000,9,-31.97,141.45,107.6,13.87
452,Tiksi,32,RU,1547265442,47,71.64,128.87,-29.14,6.4
453,Putina,92,PE,1547265749,94,-14.91,-69.87,37.82,2.93
454,Buala,92,SB,1547265750,90,-8.15,159.59,83.95,4.94
455,Urucara,8,BR,1547265750,98,-2.54,-57.76,72.47,3.04
456,Vilhena,56,BR,1547265750,97,-12.74,-60.15,69.82,0.58
457,Shache,44,CN,1547265750,79,38.42,77.24,12.89,2.82
458,Norman Wells,20,CA,1547262000,72,65.28,-126.83,-40.01,3.27
459,Lebu,0,ET,1547262000,62,8.96,38.73,46.4,9.17
460,The Valley,40,AI,1547262000,83,18.22,-63.06,75.2,3.36
461,Johnson City,90,US,1547264100,64,36.31,-82.35,39.2,2.37
462,Samagaltay,36,RU,1547265751,62,50.6,95,-23.7,3.15
463,Rio Gallegos,0,AR,1547262000,49,-51.62,-69.22,46.4,14.99
464,Lohja,0,FI,1547265000,86,60.25,24.07,30.2,11.41
465,Ponta Delgada,75,PT,1547262000,82,37.73,-25.67,59,14.99
466,Udachnyy,24,RU,1547265752,34,66.42,112.4,-23.65,4.05
467,Palora,48,EC,1547265752,100,-1.7,-77.97,59.29,2.48
468,Chapais,90,CA,1547262000,76,49.78,-74.86,-11.21,9.17
469,Inhambane,48,MZ,1547265507,99,-23.87,35.38,79.67,11.54
470,Mahebourg,40,MU,1547262000,88,-20.41,57.7,80.6,6.93
471,Makakilo City,1,US,1547261820,64,21.35,-158.09,78.98,8.05
472,Brigantine,1,US,1547265360,49,39.41,-74.36,30.92,6.93
473,Melo,92,UY,1547265469,91,-32.37,-54.17,65.32,9.19
474,Nalut,0,LY,1547265753,94,31.86,10.98,34.54,8.41
475,Bida,0,NG,1547265753,64,9.08,6.02,67.84,3.6
476,Poum,56,MK,1547265753,80,41.28,20.71,12.85,1.81
477,Samus,40,RU,1547263800,77,56.74,84.7,1.4,8.95
478,Ilhabela,8,BR,1547265520,100,-23.78,-45.36,79.9,6.17
479,Matadi,92,CD,1547265754,100,-5.83,13.46,72.7,3.15
480,Hilo,90,US,1547261580,81,19.71,-155.08,73.04,8.05
481,Vila Franca do Campo,75,PT,1547262000,82,37.72,-25.43,59,14.99
482,Ingham,92,AU,1547265486,98,-18.65,146.16,79.27,10.87
483,Matara,92,PE,1547265755,97,-13.74,-72.9,44.71,1.7
484,Cabo San Lucas,0,MX,1547265434,100,22.89,-109.91,72.52,2.37
485,Faanui,92,PF,1547265459,100,-16.48,-151.75,83.41,17.58
486,Hasaki,75,JP,1547263800,100,35.73,140.83,44.6,6.93
487,Guerrero Negro,0,MX,1547265520,100,27.97,-114.04,52.9,4.5
488,Avarua,75,CK,1547262000,74,-21.21,-159.78,82.4,8.05
489,Buta,12,CD,1547265756,86,2.79,24.73,72.92,2.15
490,Manjo,0,CM,1547265756,95,4.85,9.82,64.87,2.26
491,Nemuro,75,JP,1547262000,67,43.32,145.57,23,8.05
492,Abu Samrah,8,SY,1547265756,88,35.3,37.18,28.82,3.6
493,Panguna,68,PG,1547265756,77,-6.32,155.48,83.63,3.94
494,High Prairie,20,CA,1547265757,74,55.43,-116.48,12.31,2.82
495,Ambilobe,92,MG,1547265757,92,-13.19,49.05,71.39,3.27
496,Kosa,80,RU,1547265537,83,59.94,54.99,17.17,13.44
497,Tlaxco,88,MX,1547265757,68,19.61,-98.12,51.37,0.81
498,Havoysund,90,NO,1547263200,86,71,24.66,33.8,65.54
499,Yulara,0,AU,1547262000,13,-25.24,130.99,107.6,13.87
500,Portree,92,GB,1547265758,99,57.41,-6.19,46.6,24.85
501,Northam,92,GB,1547261400,93,51.04,-4.21,48.2,13.87
502,Tura,0,IN,1547265161,78,25.52,90.21,60.14,4.61
503,Ust-Nera,20,RU,1547265517,82,64.57,143.24,-41.07,1.92
504,Plettenberg Bay,36,ZA,1547265527,100,-34.05,23.37,63.97,19.26
505,Sitka,92,US,1547265216,100,37.17,-99.65,35.39,18.03
506,Jalu,0,LY,1547265438,40,29.03,21.55,47.09,11.43
507,Baker City,1,US,1547261580,85,44.77,-117.83,33.98,3.36
508,Santa Rosa,0,AR,1547265762,62,-36.62,-64.29,67.97,14.9
509,Cairo Montenotte,0,IT,1547265000,35,44.4,8.27,44.6,6.93
510,Sudzha,44,RU,1547265763,85,51.19,35.27,10.37,8.52
511,Wanaka,0,NZ,1547265763,33,-44.7,169.14,70.81,2.26
512,Ahuimanu,90,US,1547261820,76,21.44,-157.84,78.98,4.7
513,Airai,12,TL,1547265534,66,-8.93,125.41,84.17,2.26
514,Fort Nelson,75,CA,1547262000,76,58.81,-122.69,-4.01,2.24
515,Senador Pompeu,56,BR,1547265764,80,-5.58,-39.37,74.05,4.38
516,Pisco,20,PE,1547262000,88,-13.71,-76.2,71.6,17.22
517,Kapaa,40,US,1547261760,64,22.08,-159.32,78.08,9.17
518,Mayo,90,CA,1547262000,68,63.59,-135.9,-18.41,2.48
519,Kirakira,88,SB,1547265765,100,-10.46,161.92,81.83,9.64
520,Khasan,24,RU,1547265766,84,42.43,130.64,30.26,3.38
521,Montanhas,40,BR,1547262000,74,-6.49,-35.29,78.8,4.7
522,Port Elizabeth,1,US,1547261760,80,39.31,-74.98,30.92,3.36
523,Le Port,56,FR,1547265766,97,42.87,1.37,20.41,2.15
524,Comodoro Rivadavia,0,AR,1547262000,48,-45.87,-67.48,64.4,9.17
525,Acapulco,0,MX,1547265039,86,16.86,-99.88,75.98,6.4
526,Zhezkazgan,40,KZ,1547262000,83,47.8,67.71,-7.61,2.24
527,Dikson,0,RU,1547265444,94,73.51,80.55,-21.31,17.92
528,Dingle,20,PH,1547265482,70,11,122.67,82.64,10.65
529,Adrar,0,DZ,1547262000,48,27.87,-0.29,39.2,12.75
530,Kaitangata,0,NZ,1547265270,72,-46.28,169.85,62.8,9.53
531,Esperance,20,TT,1547262000,88,10.24,-61.45,75.2,3.36
532,Albany,75,US,1547263920,68,42.65,-73.75,12.02,10.29
533,Pochutla,76,MX,1547265768,100,15.74,-96.47,79.13,5.61
534,Provideniya,20,RU,1547265270,100,64.42,-173.23,-11.23,17.92
535,Sadovoye,92,RU,1547265769,93,47.78,44.52,38.27,17.25
536,Chiredzi,20,ZW,1547265769,89,-21.05,31.67,75.49,3.6
537,Kumluca,56,TR,1547265769,100,36.37,30.29,29.41,0.69
538,Dangara,0,NG,1547265770,42,11.43,7.3,60.55,7.96
539,Georgetown,75,GY,1547262000,88,6.8,-58.16,75.2,4.7
540,Souillac,90,FR,1547263800,100,45.6,-0.6,41,1.81
541,Nyurba,24,RU,1547265770,65,63.29,118.35,-14.47,4.94
542,Inuvik,90,CA,1547262000,74,68.36,-133.71,-22.01,4.7
543,Vila Velha,40,BR,1547262000,83,-3.71,-38.6,80.6,5.82
544,Cidreira,92,BR,1547265426,99,-30.17,-50.22,71.66,9.31
545,Ushuaia,75,AR,1547262000,49,-54.81,-68.31,46.4,13.87
546,Virginia Beach,1,US,1547264100,76,36.85,-75.98,37.04,6.62
547,Teahupoo,90,PF,1547264040,74,-17.83,-149.27,84.2,13.87
548,Sal Rei,0,CV,1547262000,82,16.18,-22.92,66.2,8.05
549,Uvinza,44,TZ,1547265773,94,-5.1,30.39,61.76,1.81
550,Fostoria,1,US,1547265300,92,43.24,-95.16,30.02,3.36
